"date","Appliances","lights","T1","RH_1","T2","RH_2","T3","RH_3","T4","RH_4","T5","RH_5","T6","RH_6","T7","RH_7","T8","RH_8","T9","RH_9","T_out","Press_mm_hg","RH_out","Windspeed","Visibility","Tdewpoint","rv1","rv2"
2016-01-29 09:40:00,40,0,18.0333333333333,43.36,17.1,44.2,19.1,41.9,16.89,43.73,16.7,50.5,5.72666666666667,86.9933333333333,17.1,39,17.2,45.4,16.29,43.29,5.7,763.966666666667,81.6666666666667,8.66666666666667,40,2.76666666666667,48.9880013396032,48.9880013396032
2016-04-07 11:00:00,60,0,21.3233333333333,41.1633333333333,21.675,39.875,22.29,38.4,21.23,39,20.4266666666667,58.93,11.56,18.256,20.89,35.0385714285714,21.1,38.76,20.8566666666667,39.76,8.1,752.8,75,7,40,3.8,17.3291265964508,17.3291265964508
2016-02-02 18:10:00,100,30,21.7,46.4633333333333,21.2,44.26,22.1,46,20.3566666666667,46.3633333333333,20,49.0977777777778,6.9,98.3333333333333,18.6,42.1572222222222,20.255,49.6694444444444,18.26,48.0266666666667,7.26666666666667,757.016666666667,88.8333333333333,5.16666666666667,40,5.56666666666667,39.7059522452764,39.7059522452764
2016-05-13 01:10:00,50,0,25.2,48.4666666666667,23.39,49.79,26.6,44.5,25.2,45.856,24.1,50.9,14.89,54.9666666666667,24.89,43.09,26.5,50.775,24.2,47.79,15.1666666666667,745.916666666667,93.1666666666667,3,40.8333333333333,14.1,20.8439480396919,20.8439480396919
2016-04-03 14:00:00,90,0,22.4633333333333,42.79,23.5,38.59,22.29,40.79,21.6,41.9,19.5,48.09,19.2633333333333,13.3633333333333,21.89,38.1266666666667,23.1,43.9666666666667,20.1333333333333,43.1266666666667,19,751.7,54,5,40,9.5,43.5926418984309,43.5926418984309
2016-03-18 04:30:00,50,0,21.76,35.1266666666667,18.2,39.59,21.6,35.8266666666667,21.39,33.06,18.6,56.03,1.32333333333333,70.4333333333333,20.5,28.29,22.3233333333333,40.59,19.8233333333333,38.3266666666667,0.4,763.15,94.5,1,23.5,-0.4,31.3740912941284,31.3740912941284
2016-04-10 05:00:00,40,0,21.39,39.9666666666667,18.4633333333333,44.3633333333333,22.7,39.09,20.2,38.1633333333333,19.89,46.5225,2.4,54.89,21.6,37.5,22.2642857142857,39.6214285714286,20.2,44.09,4.4,752.1,96,2,21,3.8,26.9811171689071,26.9811171689071
2016-04-08 04:20:00,40,0,21.2,39.4666666666667,18.39,43.7,22.3233333333333,38.4333333333333,20.6,38.5,19.89,48,5.65666666666667,57.1566666666667,21.2,37.76,21.5,41.6333333333333,20.6,43.2,5.66666666666667,753.9,95.6666666666667,2,20,5.03333333333333,42.7957584615797,42.7957584615797
2016-04-11,50,0,22.6,39.59,20.2,42,22.79,39.4,21.5,38.4,20.7,53.016,9.39,29.76,22.5,37.7,23.1142857142857,38.3528571428571,20.7,42,10.7,750.6,67,4,40,4.8,17.6426732446998,17.6426732446998
2016-03-21 10:50:00,40,0,21.29,38.56,19.3233333333333,41.1933333333333,21.9633333333333,36.9,20.0966666666667,38.09,19.5,42.7666666666667,9.82333333333333,40.76,19.29,33.03,22.1,40.4666666666667,19.6,39.6333333333333,8.21666666666667,761.783333333333,76.3333333333333,3,38,4.26666666666667,44.5471265236847,44.5471265236847
